,City Name,Country Code,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
357,rawson,ar,-43.3,-65.11,42.13,95.0,0.0,14.92
358,abu zabad,sd,12.35,29.25,89.65,77.0,0.0,4.63
359,progreso,mx,20.25,-99.19,54.37,97.0,88.0,1.16
361,buluang,ph,10.47,123.98,87.8,66.0,75.0,3.36
362,sangar,ru,63.92,127.47,34.39,79.0,0.0,4.63
363,igarka,ru,67.47,86.57,41.95,92.0,88.0,16.82
364,kingsville,us,27.52,-97.86,74.8,96.0,1.0,3.85
365,arzgir,ru,45.37,44.21,56.62,58.0,0.0,26.89
367,sinjar,iq,36.32,41.88,92.8,18.0,0.0,6.64
368,alexandria,eg,31.2,29.89,84.2,62.0,0.0,11.41
369,novikovo,ru,51.15,37.89,42.49,79.0,76.0,14.81
371,smithers,ca,54.78,-127.17,28.4,79.0,75.0,2.24
372,menongue,ao,-14.66,17.68,88.93,16.0,0.0,5.53
373,kiomboi,tz,-4.28,34.41,81.91,61.0,0.0,7.76
374,ahipara,nz,-35.17,173.16,53.74,96.0,0.0,7.43
375,bulungu,cd,-4.54,18.6,85.24,85.0,24.0,4.41
377,koumac,nc,-20.56,164.28,69.4,92.0,64.0,2.95
378,kingsport,us,36.55,-82.56,66.27,100.0,20.0,2.28
379,mago,ru,53.27,140.15,46.09,75.0,0.0,4.63
380,mar del plata,ar,-46.43,-67.52,34.12,100.0,24.0,1.16
381,longyearbyen,sj,78.22,15.64,24.8,79.0,75.0,6.93
383,tsaratanana,mg,-16.8,47.65,90.91,23.0,0.0,3.96
384,ritchie,za,-29.03,24.6,75.2,29.0,0.0,8.05
385,conde,br,-11.81,-37.61,73.63,96.0,44.0,7.43
386,kyren,ru,51.68,102.13,32.77,53.0,24.0,4.18
388,makungu,tz,-8.74,35.29,72.1,71.0,36.0,4.74
389,ferrandina,it,40.5,16.45,67.37,88.0,75.0,14.99
390,woodmere,us,41.46,-81.48,47.84,90.0,1.0,5.41
391,tilichiki,ru,60.47,166.1,45.01,79.0,88.0,15.48
392,kargil,in,34.57,76.1,31.51,59.0,44.0,1.61
393,praia da vitoria,pt,38.73,-27.07,66.2,93.0,75.0,22.08
394,melfi,td,11.06,17.94,88.3,78.0,0.0,4.41
395,mujiayingzi,cn,42.12,118.78,68.77,34.0,0.0,4.63
396,alofi,nu,-19.06,-169.92,75.2,88.0,64.0,3.36
397,shubarshi,kz,48.59,57.19,66.88,59.0,100.0,16.15
398,sinnar,sd,13.57,33.57,98.29,48.0,0.0,4.29
400,acapulco,mx,16.86,-99.88,78.8,83.0,40.0,4.7
401,high level,ca,58.52,-117.13,24.8,92.0,90.0,8.05
402,ilo,pe,-17.65,-71.34,53.74,96.0,12.0,2.84
403,presidencia roque saenz pena,ar,-26.79,-60.44,55.9,84.0,56.0,6.98
404,vila do maio,cv,15.13,-23.22,78.8,88.0,75.0,6.93
406,miyako,jp,33.63,130.94,78.78,78.0,75.0,19.46
407,south lake tahoe,us,38.93,-119.98,42.15,96.0,0.0,4.7
408,beyneu,kz,45.32,55.19,64.72,52.0,68.0,21.63
409,asahi,jp,35.74,140.65,69.17,94.0,75.0,11.41
410,berezovyy,ru,51.67,135.7,63.19,31.0,0.0,6.08
413,mgandu,tz,-5.96,34.11,80.74,42.0,0.0,15.48
414,rayong,th,12.68,101.28,78.8,88.0,75.0,9.17
416,moses lake,us,47.13,-119.28,39.74,15.0,1.0,4.7
417,miles city,us,46.41,-105.84,37.94,100.0,90.0,9.17
418,gimbi,et,8.81,37.79,71.92,41.0,0.0,3.29
419,saint-joseph,re,-21.37,55.62,76.84,47.0,90.0,18.34
420,puerto del rosario,es,28.5,-13.86,75.2,69.0,20.0,2.24
421,chisec,gt,15.81,-90.29,65.35,98.0,88.0,1.95
422,sibolga,id,1.74,98.78,75.52,91.0,88.0,2.51
423,bandarbeyla,so,9.49,50.81,79.75,89.0,0.0,9.66
424,mbuguni,tz,-3.55,36.92,78.8,57.0,75.0,9.17
425,skibbereen,ie,51.55,-9.27,48.2,93.0,75.0,16.11
427,haines junction,ca,60.75,-137.51,23.14,91.0,48.0,2.06
428,nome,us,30.04,-94.42,74.61,87.0,1.0,3.36
429,svecha,ru,58.28,47.52,40.69,80.0,76.0,12.68
430,lingao,cn,19.91,109.69,84.34,64.0,0.0,5.08
431,mezokeresztes,hu,47.83,20.7,56.44,82.0,0.0,4.41
432,dashitou,cn,43.3,128.5,57.7,74.0,0.0,3.62
433,saldanha,za,-33.01,17.94,87.8,45.0,0.0,1.12
434,chodavaram,in,17.44,81.78,93.88,45.0,0.0,6.08
435,karasuk,ru,53.73,78.03,67.69,37.0,12.0,14.03
436,kavieng,pg,-2.57,150.8,79.75,100.0,36.0,5.86
437,damara,cf,4.96,18.7,84.2,66.0,40.0,4.41
438,viedma,ar,-40.81,-62.99,34.57,85.0,0.0,5.08
439,merauke,id,-8.49,140.4,83.89,58.0,0.0,17.05
440,henties bay,na,-22.12,14.28,67.51,88.0,8.0,3.96
441,piacabucu,br,-10.41,-36.43,71.47,93.0,88.0,7.2
442,dromolaxia,cy,34.88,33.59,88.34,31.0,0.0,5.82
443,kapitanivka,ua,48.91,31.71,53.47,72.0,8.0,7.43
444,talcahuano,cl,-36.72,-73.12,51.8,93.0,90.0,12.75
445,port hedland,au,-20.31,118.58,93.2,21.0,0.0,14.99
446,portland,au,-33.35,149.98,48.07,94.0,92.0,5.53
447,pauini,br,-7.71,-67,72.64,97.0,20.0,4.18
448,deputatskiy,ru,69.3,139.9,22.24,88.0,80.0,2.73
449,zaranj,af,30.95,61.86,96.8,12.0,0.0,9.17
451,sungaipenuh,id,-2.08,101.38,71.47,90.0,56.0,1.5
452,celestun,mx,20.87,-90.4,81.64,100.0,0.0,14.47
